Size,Running Time
1,1700
101,148200
201,553400
301,1219400
401,316100
501,376200
601,523600
701,705100
801,924300
901,1164600
1001,2716500
1101,465200
1201,327400
1301,479500
1401,740500
1501,809000
1601,703500
1701,766600
1801,915100
1901,977500
2001,1068600
2101,1419600
2201,1323700
2301,1423800
2401,1559900
2501,1709400
2601,1770000
2701,1906400
2801,1111700
2901,2256600
3001,2327900
3101,2485500
3201,2668400
3301,2278300
3401,2194100
3501,1679700
3601,1640000
3701,1746600
3801,1860800
3901,1949400
4001,2077100
4101,2154200
4201,2260300
4301,2467100
4401,2450900
4501,2656900
4601,2707500
4701,2851200
4801,2977200
4901,3072600
5001,3200000
5101,3404200
5201,3479900
5301,3623300
5401,3720600
5501,3859000
5601,4028800
5701,4629900
5801,4421600
5901,4429700
6001,5628700
6101,4730600
6201,4884200
6301,5181000
6401,5201700
6501,5443800
6601,5520300
6701,5730800
6801,6891100
6901,6047600
7001,7345100
7101,11242000
7201,10323000
7301,8567000
7401,8566400
7501,7426600
7601,7358800
7701,7999800
7801,7809800
7901,7918700
8001,8193500
8101,8362800
8201,8505700
8301,8734000
8401,8957300
8501,10629500
8601,9950200
8701,11697500
8801,10355800
8901,10403800
9001,10434200
9101,11197100
9201,11040300
9301,11144600
9401,11242500
9501,11568700
9601,11982300
9701,14921600
9801,28379400
9901,19413300
